ID,Province_State,Country_Region,LAT,LON,Date,Confirmed,Deaths
1,Montana,US,48.43175214,-108.9582723,4/2/20,0,0
2,Montana,US,46.33277565,-111.4955813,4/2/20,3,0
3,Montana,US,45.22850116,-109.0274047,4/2/20,1,0
4,Montana,US,45.5197966,-104.5395536,4/2/20,0,0
5,Montana,US,47.30797024,-111.3467922,4/2/20,11,0
6,Montana,US,47.88084126,-110.4353362,4/2/20,0,0
7,Montana,US,46.25319932,-105.5737526,4/2/20,0,0
8,Montana,US,48.78420029,-105.5476343,4/2/20,0,0
9,Montana,US,47.26584855,-104.8944417,4/2/20,0,0
10,Montana,US,46.05953325,-113.073353,4/2/20,3,0
11,Montana,US,46.33478338,-104.4183565,4/2/20,0,0
12,Montana,US,47.26331584,-109.2245206,4/2/20,0,0
13,Montana,US,48.29575866,-114.0520569,4/2/20,18,0
14,Montana,US,45.54486106,-111.1692571,4/2/20,93,0
15,Montana,US,47.27545948,-107.0002351,4/2/20,0,0
16,Montana,US,48.70513576,-112.9934235,4/2/20,0,0
17,Montana,US,46.3816474,-109.1768522,4/2/20,0,0
18,Montana,US,46.4060522,-113.4414186,4/2/20,0,0
19,Montana,US,48.62879827,-110.1129252,4/2/20,1,0
20,Montana,US,46.14907081,-112.094396,4/2/20,2,0
21,Montana,US,47.04581276,-110.2660688,4/2/20,0,0
22,Montana,US,47.64514965,-114.0898013,4/2/20,4,0
23,Montana,US,47.12610041,-112.394698,4/2/20,13,0
24,Montana,US,48.56084317,-111.024307,4/2/20,1,0
25,Montana,US,48.54265777,-115.4046155,4/2/20,6,1
26,Montana,US,47.64469406,-105.7944994,4/2/20,0,0
27,Montana,US,45.30080065,-111.9173017,4/2/20,6,2
28,Montana,US,46.59907074,-110.8898557,4/2/20,1,0
29,Montana,US,47.15283992,-115.0015239,4/2/20,0,0
30,Montana,US,47.03728583,-113.9213508,4/2/20,17,0
31,Montana,US,46.49684637,-108.39498,4/2/20,1,0
32,Montana,US,45.48965095,-110.5264394,4/2/20,6,0
33,Montana,US,47.1182463,-108.2508876,4/2/20,0,0
34,Montana,US,48.25936577,-107.9128511,4/2/20,0,0
35,Montana,US,48.22773388,-112.2252703,4/2/20,0,0
36,Montana,US,45.39617714,-105.636738,4/2/20,0,0
37,Montana,US,46.85538891,-112.9359164,4/2/20,0,0
38,Montana,US,46.86048047,-105.379384,4/2/20,0,0
39,Montana,US,46.08520862,-114.1189164,4/2/20,1,0
40,Montana,US,47.78668011,-104.5610786,4/2/20,0,0
41,Montana,US,48.29607488,-105.0079268,4/2/20,1,0
